N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
16,2,4,4,5,0.6839,0.6060,0.3095,0.4294,0.4991,0.4026,0.1959,0.3668,0.0154,0.6400,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9302,0.8305,0.8431,0.7154,0.4285,0.6349,0.0077,0.2200
16,3,2,4,5,0.9949,0.9623,0.0973,0.6268,0.9823,0.9041,0.6665,0.7878,0.0232,0.0800,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9954,0.9719,0.9868,0.9181,0.6851,0.7999,0.0077,0.0700
16,3,4,4,5,0.8155,0.7366,0.3392,0.5180,0.6637,0.5505,0.2941,0.4838,0.0232,0.4300,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9302,0.8305,0.8431,0.7154,0.4285,0.6349,0.0077,0.2200
16,4,2,4,5,0.9951,0.9702,0.0867,0.6312,0.9847,0.9126,0.6790,0.7965,0.0309,0.0700,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9954,0.9719,0.9868,0.9181,0.6851,0.7999,0.0077,0.0700
16,4,4,4,5,0.8862,0.7789,0.3475,0.5410,0.7629,0.6382,0.3510,0.5542,0.0309,0.2900,0.9997,0.9961,0.9979,0.9748,0.7684,0.8537,0.0000,0.0200,0.9302,0.8305,0.8431,0.7154,0.4285,0.6349,0.0077,0.2200
16,2,2,8,5,0.9997,0.9961,0.0183,0.7704,0.9965,0.9770,0.8726,0.7244,0.0264,0.0200,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,1.0000,0.9995,0.9991,0.9847,0.8878,0.7397,0.0132,0.0200
16,2,4,8,5,0.9614,0.9093,0.2471,0.7845,0.8694,0.8054,0.5717,0.5891,0.0264,0.1600,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.9983,0.9792,0.9863,0.9386,0.8206,0.6871,0.0132,0.0500
16,2,6,8,5,0.6974,0.7026,0.4188,0.6757,0.4784,0.4284,0.2259,0.3587,0.0264,0.5900,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.9765,0.9371,0.9267,0.8609,0.6444,0.6219,0.0132,0.1100
16,2,8,8,5,0.3307,0.1350,0.2780,0.1340,0.1876,0.0375,0.0285,0.1273,0.0264,1.0500,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,0.8804,0.8476,0.7330,0.6777,0.4210,0.4882,0.0132,0.2900
16,3,2,8,5,1.0000,0.9995,0.0134,0.7620,0.9978,0.9806,0.8840,0.7333,0.0397,0.0200,1.0000,1.0000,1.0000,0.9995,0.9146,0.7749,0.0000,0.0000,1.0000,0.9995,0.9991,0.9847,0.8878,0.7397,0.0132,0.0200
